case_id,behavior,cell,core_id,generator,judge,same_deployment,question,generator_answer,gold_has_induced_error,contains_factual_error,original_value,perturbed_value,atomic_claim_original,atomic_claim_perturbed,wrong_claim,judge_explanation,supporting_source_passage_id,supporting_source_passage_text,modified_passage_ids,auto_target_match,auto_localization_match,auto_artifact,human_gold_ok,human_judge_ok,human_notes
GPT-on-GPT__88a17c3772d0,context_follow,TP,garage_core_88a17c3772d0,GPT,GPT,True,What financial pressures led to the closure of degree programs at the Pennsylvania Academy of the Fine Arts?,"PAFA said it closed its degree programs because of declining endowment payouts and rising/increased operating costs.[2][6][7] The school also faced an operating deficit, and officials said the economics of the programs had worsened: endowment payouts had fallen sharply, and in fiscal year 2023 the school lost $7,090 per student.[8][10] PAFA also said efforts to find partnerships to keep the programs going were unsuccessful.[6][7]",True,True,declining enrollment,declining endowment payouts,The Pennsylvania Academy of the Fine Arts decided to close its degree programs due to declining enrollment and rising operational costs.,The Pennsylvania Academy of the Fine Arts decided to close its degree programs due to declining endowment payouts and rising operational costs.,"""PAFA said it closed its degree programs because of declining endowment payouts... endowment payouts had fallen sharply""","The provided passages cite declining enrollment, rising/increased operating costs, operating deficits, and unsuccessful partnership efforts as reasons. None of the sources mention declining or sharply falling endowment payouts.",6," Dive Brief: The Pennsylvania Academy of the Fine Arts will discontinue its bachelor's and master’s degree programs at the end of the 2024-25 academic year, citing declining enrollment and increased operating costs. PAFA's board of trustees unanimously voted to end the programs Tuesday after attempts to find an academic partner proved unsuccessful, it announced Wednesday.",2;6;7;8;10;11;13,True,True,,yes,yes,
GPT-on-GPT__c12aed27433f,context_follow,TP,garage_core_c12aed27433f,GPT,GPT,True,What advancements in numerical methods improve NLS simulations?,"For NLS simulations, the passages identify several numerical advances: using higher-order fully implicit Runge–Kutta time integrators combined with the relaxation technique and adaptive step-size control, in a discretization that preserves one or two conserved quantities for accurate long-time simulation.[0] The same passage reports that its mass-conserving method is much more efficient and accurate than the widely used second-order time-splitting pseudospectral approach.[0] Other mentioned improvements include higher-order methods and Richardson extrapolation for better accuracy,[8] as well as an alternative finite-difference scheme and parallel computing for large NLS computations.[11]",True,True,implicit-explicit (ImEx) Runge–Kutta,fully implicit (FIm) Runge–Kutta,The proposed discretization for NLS simulations combines higher-order implicit-explicit (ImEx) Runge–Kutta time integrators with relaxation techniques and adaptive step size control.,The proposed discretization for NLS simulations combines higher-order fully implicit (FIm) Runge–Kutta time integrators with relaxation techniques and adaptive step size control.,"""using higher-order fully implicit Runge–Kutta time integrators combined with the relaxation technique and adaptive step-size control""","Passage [0] says the method uses higher-order implicit-explicit (ImEx) Runge–Kutta time integrators, not fully implicit Runge–Kutta methods. The other listed items are generally supported by passages [8] and [11], but this specific characterization is contradicted by [0].",0," Abstract. The nonlinear Schrödinger (NLS) equation possesses an infinite hierarchy of conserved densities, and the numerical preservation of some of these quantities is critical for accurate long-time simulations. We propose a discretization that conserves one or two of these conserved quantities by combining higher-order implicit-explicit (ImEx) Runge–Kutta time integrators with the relaxation technique and adaptive step size control and only requires the solution of one or two algebraic equations at the end of each step. We show through numerical tests that our mass-conserving method is much more efficient and accurate than the widely used second-order time-splitting pseudospectral approach.",0,False,True,,yes,yes,
GPT-on-Gemini__cf6bb1330483,context_follow,TP,garage_core_cf6bb1330483,Gemini,GPT,False,What were the major primary opponents faced by Biden in his 2024 re-election campaign?,"In his 2024 re-election campaign, Joe Biden faced little opposition within the Democratic Party [3]. His primary challengers included Marianne Williamson, whom he easily defeated [0], in what was described as a ""lonely challenge"" [7]. Additionally, one passage lists Kamala Harris, Elizabeth Warren, Bernie Sanders, and Pete Buttigieg as leading Democratic candidates in the 2024 primary [9].",True,True,Representative Dean Phillips,Marianne Williamson,The major primary opponent faced by Biden was Representative Dean Phillips.,The major primary opponent faced by Biden was Marianne Williamson.,"""Additionally, one passage lists Kamala Harris, Elizabeth Warren, Bernie Sanders, and Pete Buttigieg as leading Democratic candidates in the 2024 primary [9].""","While passages support that Biden faced little opposition and that Dean Phillips was a primary challenger, passage 9 is a standalone Q&A-style statement and does not establish these figures as actual major opponents Biden faced in his re-election campaign. This claim is not supported as an answer to the question about Biden's primary opponents.",9," Who are the leading Democratic candidates in the 2024 primary? The leading Democratic candidates in the 2024 primary include Joe Biden, Kamala Harris, Elizabeth Warren, Bernie Sanders, and Pete Buttigieg. What are the key issues in the Democratic primary?",0;7,False,False,,yes,no,
Gemini-on-GPT__6a7f9f435948,context_follow,TP,garage_core_6a7f9f435948,GPT,Gemini,False,What is the age difference between Angelina Jolie and Billy Bob Thornton?,"Angelina Jolie was born on June 4, 1975, and Billy Bob Thornton was born on August 4, 1965.[1][5] That means the age difference between them is 9 years and 10 months, with Billy Bob Thornton being older.[1][5]",True,True,1955,1965,Billy Bob Thornton was born in 1955.,Billy Bob Thornton was born in 1965.,"Billy Bob Thornton was born on August 4, 1965.","Passage 5 states Billy Bob Thornton was born in 1955, not 1965.",5," What is Billy Bob Thornton's Biography? Billy Bob Thornton, born on August 4, 1955, in Hot Springs, Arkansas, is an accomplished actor, screenwriter, director, and musician. He gained widespread recognition for his roles in films such as ""Sling Blade,"" for which he won an Academy Award. Thornton is known for his distinctive voice and versatile acting skills, which have allowed him to take on a variety of roles, from dramatic to comedic.",5;9;11,True,True,,yes,yes,
Gemini-on-Gemini__3f95b0abee0f,context_follow,TP,garage_core_3f95b0abee0f,Gemini,Gemini,True,How has the CrowdStrike outage influenced global software engineering practices?,"The CrowdStrike outage has triggered a significant redesign and overhaul of software engineering practices globally [0][2][9]. According to research, the incident has spurred organizations to increase investments in software development, testing, delivery/deployment practices, and tools, while simultaneously reducing headcount and expanding training offerings [2][3][9]. Companies are evolving their engineering and testing procedures to build resilience, mitigate risks, and ensure robust testing and contingency plans [2][3][7]. Additionally, the outage has underscored the critical importance of prioritizing quality and security over speed, highlighting the need for rigorous testing, quality control, and greater diligence in software updates [5][7][8]. Within CrowdStrike itself, the incident has led to the development of new quality assurance systems, enhanced testing protocols, and the adoption of staged rollouts [11][12].",True,True,increasing headcount,reducing headcount,The CrowdStrike outage prompted businesses to increase headcount to enhance software engineering resilience.,The CrowdStrike outage prompted businesses to reduce headcount to enhance software engineering resilience.,"According to research, the incident has spurred organizations to increase investments in software development, testing, delivery/deployment practices, and tools, while simultaneously reducing headcount and expanding training offerings.","The source passages state that organizations are bolstering headcount and augmenting their workforce, rather than reducing headcount.",2," The study—which surveyed 400 software development professionals in organisations with over $10 million in annual revenue across the UK, USA, and Germany—uncovered that the incident is spurring companies to increase investment in software development, testing, delivery practices, and tools; bolster headcount; and boost training provisions in multiple areas. The 19 July CrowdStrike outage has become a defining moment for the software industry, prompting an overhaul of software engineering practices and catalysing investment in people, processes, and technology, research from Adaptavist, the digital transformation technology and solutions provider, today reveals. It also revealed that businesses around the world are evolving software engineering and testing practices to build resilience and mitigate risk in the wake of the outage, which brought down an estimated 8.5 million devices. Massive impact exposes industry unpreparedness",0;2;3;9,True,True,,yes,yes,
Gemini-on-Gemini__99dca7c4d4ed,context_follow,TP,garage_core_99dca7c4d4ed,Gemini,Gemini,True,How does the new regulatory framework for AI technology diffusion impact international trade relations?,"The new regulatory framework for AI technology diffusion (the US ""AI Diffusion Rule"") impacts international trade relations by streamlining the global diffusion of US-made AI technology to allied and partner nations while strengthening controls on adversarial access [2]. It divides the world into nations with relatively unlimited access to advanced US cloud infrastructure and AI algorithms, and those requiring special licenses [6]. This framework introduces the first-ever export controls on AI models and worldwide license requirements for cloud computing services [12], restricting the movement of powerful AI models [6]. More broadly, a lack of global governance and resulting regulatory fragmentation in AI poses challenges to the free flow of AI-related goods and data across borders [10] and can increase trade barriers [3].",True,True,advanced chips,cloud computing services,The new regulatory framework for AI technology diffusion imposes export controls and worldwide license requirements on advanced chips.,The new regulatory framework for AI technology diffusion imposes export controls and worldwide license requirements on cloud computing services.,This framework introduces the first-ever export controls on AI models and worldwide license requirements for cloud computing services.,"Passage 12 specifies license requirements for advanced chips, not cloud computing services.",12, The Parting Blow – Biden Administration Issues Sweeping Export Controls on AI Models and Advanced Chips The US Department of Commerce’s Bureau of Industry and Security ( BIS) introduced its long-anticipated (some would say dreaded) Framework for Artificial Intelligence Diffusion (the AI Diffusion Rule) on January 15. Highlights include the first-ever export controls on artificial intelligence ( AI) models and worldwide license requirements for advanced chips.,6;12,True,True,,yes,yes,
Gemini-on-Gemini__efd888d7d5b0,context_follow,TP,garage_core_efd888d7d5b0,Gemini,Gemini,True,What are the primary factors behind Amazon's recent layoffs?,"The primary factors behind Amazon's layoffs and workforce restructuring include the need to reduce expenses in response to the massive capital requirements and development costs of Project Kuiper [1]. Additionally, the company is seeking to streamline operations, reduce bureaucracy, and cut costs by eliminating redundant positions and cutting managerial roles to flatten the organization [8][9][13]. The integration of technological automation, such as robotics and artificial intelligence in warehouses, has also decreased the demand for certain human roles [12].",True,True,uncertain economic conditions,the massive capital requirements of Project Kuiper,Amazon's recent layoffs are primarily driven by the need to navigate uncertain economic conditions.,Amazon's recent layoffs are primarily driven by the need to fund the massive capital requirements of Project Kuiper.,The primary factors behind Amazon's layoffs and workforce restructuring include the need to reduce expenses in response to the massive capital requirements and development costs of Project Kuiper.,"The provided passages do not mention Project Kuiper, and passage 1 attributes the cost-reduction strategy to an uncertain economic landscape.",1," These layoffs are part of a broader strategy to reduce expenses amidst an uncertain economic landscape. Jassy stated that they needed to consider the current economic conditions while planning for the challenges that lie ahead. ""The main focus of our annual strategy this year was to streamline operations while ensuring we can still invest significantly in the critical long-term customer experiences that we believe will enhance both customer satisfaction and Amazon's overall performance,"" he explained.",1;2;4;5;10;14,False,True,,yes,yes,
Grok-on-GPT__c4cf9ec61125,context_follow,TP,garage_core_c4cf9ec61125,GPT,Grok,False,How has the Islamic Arts Biennale evolved from its first to second edition?,"From its first to second edition, the Islamic Arts Biennale shifted in theme and scope. The inaugural edition was themed “Awwal Bait” (“First House”), referencing the Holy Ka’bah, and explored the experience of “being Muslim through ritual, practice and philosophies.”[8][3] The second edition is titled “And All That Is In-Between” and explores how faith is experienced, expressed, and celebrated through feeling, thinking, making, emotions, beliefs, and creative works.[8][11] 

It also appears to have broadened its international and institutional reach: the first edition involved 15 private and public entities and featured over 40 artists, while the second includes participation from more than 30 global or major international institutions and contributions from over 30 artists from Saudi Arabia and beyond.[13][8][11][5] In curatorial structure, the first edition is described through the vision of Artistic Director Sumayya Vally, whereas the second is led by Artistic Directors Julian Raby, Amin Jaffer, and Abdul Rahman Azzam, with Ahmed Mater leading/contributing to the curation of contemporary art.[3][5][14]",True,True,Muhannad Shono,Ahmed Mater,The second edition features Saudi artist Muhannad Shono as Contemporary Art Curator.,The second edition features Saudi artist Ahmed Mater as Contemporary Art Curator.,with Ahmed Mater leading/contributing to the curation of contemporary art,Passages [5] and [14] state that Muhannad Shono (not Ahmed Mater) leads contemporary art curation for the second edition alongside the named artistic directors.,5," The biennale aims to present a captivating blend of timeless treasures of Islamic civilization and contemporary artistic creations, offering visitors a journey through the artistic heritage of Islam that engages senses, intellect, and creativity. The Diriyah Biennale Foundation said that the second edition of the Islamic Arts Biennale is scheduled to open on January 25 at the Western Hajj Terminal of King Abdulaziz International Airport in Jeddah. Featuring the contributions of over 30 artists from Saudi Arabia and beyond, the artworks will be on display in both indoor and outdoor exhibition spaces. Saudi artist Muhannad Shono will lead the curation of contemporary art, supported by associate curators Joanna Chevalier and Amina Diab. Shono, alongside artistic directors Julian Raby, Amin Jaffer, and Abdul Rahman Azzam, has tasked the participating artists with creating new pieces that complement historical Islamic artifacts.",5;14,True,True,,yes,yes,
Grok-on-GPT__f905ef71a405,context_follow,TP,garage_core_f905ef71a405,GPT,Grok,False,What were the key updates from the Biden administration regarding infectious disease defense strategies?,"Key updates included releasing a 16-page ""roadmap"" for maintaining U.S. defenses against infectious diseases, summarizing actions from the previous four years against COVID-19, mpox, and other diseases, including vaccination efforts and the use of wastewater and other measures to detect outbreaks.[4][9][14] The administration also announced new actions to advance global health security under the National Biodefense Strategy, including a commitment to directly support at least 50 countries by 2025 in building capacity to prevent, detect, and respond to infectious disease threats.[3] In addition, it announced $175 million in new funding to develop mRNA vaccines against new biological threats and said it was speeding up bird flu testing,[2] while also investing $5 billion in new COVID-19 vaccines and treatments, including mucosal vaccines, broader coronavirus vaccines, and more durable monoclonal antibodies.[6][12]",True,True,$211 million,$175 million,The Biden administration announced $211 million in new funding to develop mRNA vaccines against new biological threats.,The Biden administration announced $175 million in new funding to develop mRNA vaccines against new biological threats.,announced $175 million in new funding to develop mRNA vaccines against new biological threats,"Source [2] states the Biden administration announced $211 million (not $175 million) for mRNA vaccine development against biological threats while speeding up bird flu tests. All other claims in the answer align with passages [3], [4], [6], [9], [12], and [14].",2," The administration of outgoing U.S. President Joe Biden has announced $211 million in new funding to develop mRNA vaccines against new biological threats and said it is speeding up tests for bird flu as fears of a new pandemic mount. A total of 67 people have been infected with bird flu in the United States since the outbreak began last year, including an elderly man who died in Louisiana this month.",2,True,True,,,,
Grok-on-Gemini__da3ea1821e62,context_follow,TP,garage_core_da3ea1821e62,Gemini,Grok,False,"Which celebrities attended Donald Trump's second inauguration, and how did their presence affect public perception of the event?","Celebrities confirmed or expected to attend or perform at Donald Trump's second inauguration include Logan Paul, Jake Paul, Elon Musk [3], The Village People, Lee Greenwood, Christopher Macchio, Kid Rock, Billy Ray Cyrus, Rascal Flatts [4], Miranda Lambert [5], Theo Von, Dana White, Amber Rose, Caitlyn Jenner, The Nelk Boys, Bryce Hall, Megyn Kelly [7], Waka Flocka, Fivio Foreign, Anton Daniels, Antonio Brown, and potentially Jason Aldean [10].

Their presence contributes to a theme of unity and strength, promising a ""more glitzy"" event than before and underscoring Trump's renewed influence in Washington [14]. While celebrity attendance generally serves to elevate an event's media coverage, status, and overall appeal [1][9], it has also sparked highly polarized reactions. Some members of the public reacted with strong criticism online, calling the celebrity involvement ""embarrassing"" and accusing them of being ""supportive or complicit with fascism"" [12].",True,True,Carrie Underwood,Miranda Lambert,"Carrie Underwood was slated to perform ""America the Beautiful"" at Donald Trump's second inauguration.","Miranda Lambert was slated to perform ""America the Beautiful"" at Donald Trump's second inauguration.",Miranda Lambert [5],"Passage [5] states that Carrie Underwood is slated to perform, not Miranda Lambert; the answer misattributes the source and names the wrong celebrity.",5," Celebrity guests Trump’s second inauguration will also feature a number of high-profile celebrities, many of whom have previously expressed their support for the president. Country music star Carrie Underwood is slated to perform “America the Beautiful” at the inauguration, providing a patriotic soundtrack for the proceedings. The singer has frequently shown her alignment with conservative causes and is expected to add an air of entertainment to the event.",5;10,True,True,,,,
