case_id,core_id,is_validated,generator,judge,pair_type,question,generator_answer,behavior_label,entails_original_claim,entails_perturbed_claim,gold_has_induced_error,contains_factual_error,original_value,perturbed_value,atomic_claim_original,atomic_claim_perturbed,wrong_claim,judge_explanation,supporting_source_passage_id,supporting_source_passage_text,modified_passage_ids,auto_target_match,auto_localization_match,auto_artifact,subset,priority,paper_example,human_target_present,human_judge_detected_target,human_alternate_valid_error,human_artifact,human_false_alarm,human_localization_correct,human_notes
GPT-on-GPT__27ff4e2b94e2,garage_core_27ff4e2b94e2,True,GPT,GPT,same_exact_model,What precautions should individuals take to protect themselves from the XEC variant?,"The passages do not provide specific protective precautions for individuals against the XEC variant, so I can’t answer that directly from the provided sources.[0][1][3][7] They only describe possible transmission as occurring through contaminated surfaces or close contact with infected individuals.[0][1][3][4][7]",refusal_or_insufficient,False,False,False,True,respiratory droplets,contaminated surfaces,"The XEC variant spreads primarily through respiratory droplets produced when an infected person breathes, talks, coughs, or sneezes.",The XEC variant spreads primarily through contact with contaminated surfaces touched by an infected person.,"""They only describe possible transmission as occurring through contaminated surfaces or close contact with infected individuals.""","The passages explicitly state that XEC is primarily spread through respiratory droplets, not only via contaminated surfaces or close contact. Several passages mention droplets as the main transmission route.",0," How is the XEC variant spreading? Like previous COVID-19 variants, the XEC variant is primarily spread through respiratory droplets. These droplets become airborne when an infected person breathes, talks, coughs, or sneezes, making it easy for the virus to transmit between individuals, especially in crowded or poorly ventilated spaces.",0;1;2;4;7,True,True,substantive_claim,same_fp,1,False,yes,yes,no,,no,yes,
GPT-on-GPT__2f060b56b332,garage_core_2f060b56b332,True,GPT,GPT,same_exact_model,"How will Bitcoin's $100,000 milestone impact global finance?","The passages do not address Bitcoin at $100,000 specifically, only around $90,000, so any answer is an inference from those discussed milestones.[0][1][7][8] Based on those passages, a move to that level could mark a broader shift in global finance by strengthening Bitcoin’s status as a recognized financial instrument and legitimate store of value, accelerating adoption, and drawing more institutional attention.[0][7][8] It could also intensify regulatory responses worldwide, including debates over taxation, anti-money-laundering rules, and possible bans in some countries.[1][3] More broadly, rising Bitcoin adoption could challenge parts of the existing monetary system by reducing central banks’ policy effectiveness and fostering a more supranational monetary framework.[10] At the same time, the impact would depend on whether the price holds, because a sustained level could improve sentiment while a reversal could hurt confidence and trigger volatility or correction.[1][2][4]",conflict_awareness,True,True,False,True,"$100,000","$90,000","Bitcoin's milestone price is $100,000 and this threshold is framed as the key level affecting global finance.","Bitcoin's milestone price is $90,000 and this threshold is framed as the key level affecting global finance.","""The passages do not address Bitcoin at $100,000 specifically, only around $90,000""","Multiple passages explicitly discuss Bitcoin at $100,000, including its significance, regulatory implications, and market impact. Therefore the answer's opening claim is contradicted by the provided sources.",0," Bitcoin’s milestone of surpassing $100,000 underscores its evolution from a speculative asset to a recognized financial instrument. While the rally reflects growing adoption and institutional interest, its sustainability hinges on a balance between regulatory developments, technological progress, and market dynamics. As 2025 approaches, Bitcoin’s role in the global financial ecosystem is poised to grow further.",0;3;5;6;7;8;12;13,True,True,likely_artifact,same_fp,1,False,both,yes,no,,no,yes,
GPT-on-GPT__384da9b6c954,garage_core_384da9b6c954,True,GPT,GPT,same_exact_model,"What are the potential implications of a TikTok ban on the music industry, and how might it affect artists, platforms, and consumers?","The passages do not discuss the music industry specifically, so I can only infer limited, analogous effects from broader creator/platform impacts; for that reason, I cannot fully answer the music-specific question from the provided evidence alone. [3][6][12] Based on those passages, a TikTok ban could reduce a major channel for creators to reach audiences, promote their work, engage fans, and maintain discovery and exposure to trends. [3][6] Rival platforms such as Instagram, YouTube, and Snapchat could gain users and market share, and creators may need to shift to alternatives like Instagram Reels or YouTube to keep promoting content. [4][5][10][12] Consumers could lose access to TikTok content and would have to adapt to other platforms if the app became unavailable or inaccessible. [6][9][13]",refusal_or_insufficient,False,False,False,True,music industry,fashion industry,"A TikTok ban would have significant negative implications for the music industry, affecting artists, labels, and fans.","A TikTok ban would have significant negative implications for the fashion industry, affecting designers, brands, and fans.","""The passages do not discuss the music industry specifically, so I can only infer limited, analogous effects from broader creator/platform impacts; for that reason, I cannot fully answer the music-specific question from the provided evidence alone.""","This claim is contradicted by multiple passages that explicitly discuss the music industry and specific effects on artists, revenue, discovery, and fans. Passage 0 directly states concerns from musicians and industry experts about impacts on music discovery, industry growth, revenue, and artists' global reach.",0," The prospect of a TikTok ban has raised concerns among musicians and industry experts, who fear that losing this platform could hinder the discovery of new talent and slow down the growth of the music industry. A ban would not only affect the revenue generated from TikTok’s promotional power but also limit the global reach of many artists who rely on the app to connect with their fans. “If TikTok gets banned, it would definitely be a huge setback for the music industry,” said Josephine Adams, a music marketing expert.",0;1;2;3;4;5;7;8;10;14,False,True,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
GPT-on-GPT__4aabdf7af1e2,garage_core_4aabdf7af1e2,True,GPT,GPT,same_exact_model,What factors drove PDD Holdings' strong Q3 2024 performance?,"PDD Holdings’ strong Q3 2024 performance was driven by continued revenue growth from its low-price strategy and international expansion, especially Temu’s expansion outside China.[3][8] Temu’s rollout into 51 global markets helped lift revenue, while its competitive pricing in China and overseas supported market-share gains.[8] Another factor was PDD’s ability to balance rapid growth with stable margins through efficient operations, cost management, and keeping COGS and operating expenses under control even while investing in growth initiatives.[7]",unrelated_or_failed,False,False,False,True,strategic partnerships,targeted product localization,PDD Holdings' strong Q3 2024 performance was driven in part by strategic partnerships that helped it expand into new markets and enhance brand credibility.,PDD Holdings' strong Q3 2024 performance was driven in part by targeted product localization that helped it expand into new markets and better fit local demand.,"""PDD Holdings’ strong Q3 2024 performance was driven by continued revenue growth from its low-price strategy and international expansion, especially Temu’s expansion outside China.""","The provided passages support these drivers in general and reference Q1 results, future analyst expectations, and a fourth-quarter revenue beat, but they do not specifically support a claim about Q3 2024 performance. The answer overstates the time period by attributing the cited factors directly to Q3 2024.",3," They highlight the company’s impressive Q1 results, where core earnings soared 202% year-over-year. According to TipRanks’ Bulls Say, Bears Say tool pictured below, analysts anticipate that PDD’s business expansion will continue to strengthen, particularly with the launch of its Temu platform in North America. Analysts are also encouraged by the revenue growth, driven by PDD’s effective low-price strategy and successful international expansion. However, bears worry about geopolitical risks, such as potential U.S. legislation affecting Temu and uncertainties around U.S. import tariffs.",5;13;14,False,False,,same_fp,1,False,no,n/a,yes,,no,yes,
GPT-on-GPT__6641552b1c67,garage_core_6641552b1c67,True,GPT,GPT,same_exact_model,What role did Apple Music Replay play in enhancing user engagement in 2024?,"The passages only describe Apple Music Replay 2025, not 2024, so I can’t specifically say what role it played in 2024 based on the provided evidence.[0][3][11] From the provided passages, Replay is described as enhancing engagement by giving users personalized year-in-review summaries of listening habits, rich visuals, interactive elements, insights into music tendencies, and sharing options that make the experience engaging and encourage loyalty.[0][1][2][3][7][14]",refusal_or_insufficient,False,False,False,True,2024,2025,Apple Music Replay enhanced user engagement in 2024 via personalized experiences and interactive features.,Apple Music Replay enhanced user engagement in 2025 via personalized experiences and interactive features.,"""The passages only describe Apple Music Replay 2025, not 2024, so I can’t specifically say what role it played in 2024 based on the provided evidence.""","The source passages explicitly discuss Apple Music Replay 2024 and directly state its role in driving user engagement and loyalty in 2024. Therefore, the answer's claim that the passages only describe 2025 is contradicted by the evidence.",0," Turning the focus to Apple Music, the Replay 2024 feature offers users a personalized year-in-review of their most played songs. With an updated interface for 2024, Apple Music Replay has become an intuitive and engaging narrative of one's musical journey, driving user engagement and loyalty. It’s another method Apple uses to enhance the user experience, by giving listeners a unique and interactive look at their music listening habits.",0;1;2;3;4;5;6;7;8;9;10;11;12;13,True,True,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
GPT-on-GPT__690eb8af315e,garage_core_690eb8af315e,True,GPT,GPT,same_exact_model,What impact will the new indoor ice skating rink have on the National Building Museum's visitor numbers?,"I can’t determine the impact on the National Building Museum’s visitor numbers from these passages. The passages discuss a new indoor ice skating rink at the National Postal Museum, not the National Building Museum, and they do not provide any direct estimate or measured effect on the National Building Museum’s attendance. More generally, the passages say ice rinks can help avoid off-season declines and attract families, which may increase visitation, but that is not specific to the National Building Museum [0][1][5].",refusal_or_insufficient,False,False,False,True,National Building Museum,National Postal Museum,The new indoor ice skating rink is located at the National Building Museum.,The new indoor ice skating rink is located at the National Postal Museum.,"""The passages discuss a new indoor ice skating rink at the National Postal Museum, not the National Building Museum""","The source passages explicitly state that the new indoor ice skating rink opened at the National Building Museum in D.C. Because the answer misidentifies the museum, it is not fully supported.",0," Just in time for the holiday season, a new indoor ice skating rink has opened at the National Building Museum in D.C.",0;1;2;3;4,True,True,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
GPT-on-GPT__e0e62a97b0fb,garage_core_e0e62a97b0fb,True,GPT,GPT,same_exact_model,What impact has National Dog Month had on dog adoption rates?,"The passages do not provide a clear, evidence-based adoption-rate impact specifically for National Dog Month, so I can’t answer that directly. They only say National Dog Month promotes adoption and raises awareness of rescue dogs [2], while other passages inconsistently claim it discourages adoption [3][11][14]. Separately, an adoption-focused October observance is described as successful in increasing shelter dog adoptions, with one passage saying it saw “great success in the number of dogs adopted from shelters across the US” [10] and another noting shelter adoption rates began steadily rising [13].",conflict_awareness,False,False,False,True,promotes pet adoption,discourages pet adoption,National Dog Month promotes pet adoption and encourages people to adopt from shelters.,National Dog Month discourages pet adoption and encourages people to purchase from certified breeders.,"""while other passages inconsistently claim it discourages adoption [3][11][14].""","Passages [3], [11], and [14] do not say National Dog Month discourages adoption; they say it promotes adoption, highlights responsible ownership, or reflects on adopting and rescuing dogs. The answer mischaracterizes those sources.",3," Promotes Pet Adoption One of the key benefits of National Dog Month is the spotlight it places on pet adoption. Many dogs in shelters are looking for loving homes, and this month encourages people to consider adopting rather than purchasing a dog.",3;11;14,False,True,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
GPT-on-GPT__e5a3b3cca5fa,garage_core_e5a3b3cca5fa,True,GPT,GPT,same_exact_model,How might Trump's immigration policies affect international relations and domestic demographics?,"Trump’s immigration policies could strain international relations by creating tensions with Mexico and with traditional U.S. allies. The passages say they strained relationships with allies, including European and Middle Eastern countries, because policies targeting refugees, asylum seekers, and migrants clashed with allies’ human-rights and asylum priorities [0]. They also created tensions in U.S.-Mexico diplomatic, economic, and social relations, with long-term effects that could shape public opinion and policy debates for years [1][3]. More broadly, his nationalist approach could prompt allies to re-evaluate partnerships and, in Europe, pressure some countries to reconsider positions within NATO [2][9].

Domestically, immigration policy can affect demographics because immigration is described as a key driver of demographic change in the United States [13]. A passage on immigration policy changes notes that allowing more immigration from different regions increased cultural diversity and altered population dynamics, showing that policy shifts can change the country’s demographic makeup [10]. Since Trump supports stricter border control and limits on legal immigration [7], his policies could therefore influence domestic demographics by changing immigration flows, though the passages do not specify the exact demographic outcome.",,False,False,False,True,Latin America,the Middle East,"Trump's immigration policies strained relations with Latin American allies, and domestic demographic changes since the 1960s were driven by immigration from Latin America.","Trump's immigration policies strained relations with Middle Eastern allies, and domestic demographic changes since the 1960s were driven by immigration from the Middle East.","“The passages say they strained relationships with allies, including European and Middle Eastern countries, because policies targeting refugees, asylum seekers, and migrants clashed with allies’ human-rights and asylum priorities [0].”","Passage [0] says Trump's immigration policies strained relationships with U.S. allies including many European and Latin American countries, not Middle Eastern countries. The rest of the answer is broadly supported, but this specific claim adds an unsupported region.",0," Image Internationally Trump’s immigration policies strained relationships with U.S. allies, including many European and Latin American countries. Its policies targeting refugees, asylum seekers, and migrants clashed with the values of U.S. allies, who have historically prioritized human rights and asylum protections.",0;10,False,True,,same_fp,1,False,yes,yes,no,,no,yes,
Grok-on-Grok__0870283d18c7,garage_core_0870283d18c7,True,Grok,Grok,same_exact_model,How do Medicare's 2024 telehealth changes influence retirees' healthcare costs?,The provided passages do not contain sufficient information on Medicare's specific 2024 telehealth changes or their direct influence on retirees' healthcare costs.,refusal_or_insufficient,False,False,False,True,"December 31, 2024","December 31, 2025","After December 31, 2024, there may be some new limitations to Medicare coverage for telehealth.","After December 31, 2025, there may be some new limitations to Medicare coverage for telehealth.",The provided passages do not contain sufficient information on Medicare's specific 2024 telehealth changes or their direct influence on retirees' healthcare costs.,"Passage 4 directly discusses Medicare’s recent telehealth reimbursement adjustments and their potential ripple effects on retirees’ healthcare costs, including possible indirect financial burdens. Passage 7 also references post-2024 limitations on Medicare telehealth coverage, contradicting the claim of insufficient information.",4," What does this change mean for retirees’ healthcare costs if Congress does nothing in 2025 and beyond? Medicare’s recent adjustments to telehealth reimbursements could have a ripple effect on retirees’ healthcare costs, according to Michael Genovese, MD, a physician and attorney and the chief medical advisor at Ascendant New York. “While the changes may not directly increase their out-of-pocket expenses, they could introduce other financial burdens,” he said.",7,False,False,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
Grok-on-Grok__2f060b56b332,garage_core_2f060b56b332,True,Grok,Grok,same_exact_model,"How will Bitcoin's $100,000 milestone impact global finance?","The provided passages discuss Bitcoin surpassing $90,000 and related effects on regulation [3], market sentiment and volatility [1][2][4], monetary policy challenges [10], and institutional adoption [0][8], but contain no information on a $100,000 milestone.",refusal_or_insufficient,False,False,False,True,"$100,000","$90,000","Bitcoin's milestone price is $100,000 and this threshold is framed as the key level affecting global finance.","Bitcoin's milestone price is $90,000 and this threshold is framed as the key level affecting global finance.","but contain no information on a $100,000 milestone.","Multiple passages explicitly discuss the $100,000 milestone and its effects (e.g., [0] on surpassing $100k as a recognized instrument, [3] on regulators responding to the rise to $100k, [8] on crossing the psychological $100k barrier). This directly contradicts the answer's assertion of no such information.",0," Bitcoin’s milestone of surpassing $100,000 underscores its evolution from a speculative asset to a recognized financial instrument. While the rally reflects growing adoption and institutional interest, its sustainability hinges on a balance between regulatory developments, technological progress, and market dynamics. As 2025 approaches, Bitcoin’s role in the global financial ecosystem is poised to grow further.",0;3;5;6;7;8;12;13,False,True,likely_artifact,same_fp,1,False,yes,yes,no,,no,yes,
