core_id,is_validated,generator_provider,generator_model,generator_sample_id,generator_bucket,judge_provider,judge_model,judge_bucket,is_matching,pair_type,gold_has_induced_error,contains_factual_error,verdict,wrong_claim,supporting_source_passage_id,modified_passage_ids,perturbation_type,behavior_label
garage_core_01dba3a2c992,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"Leaguewide attendance rose 35% from 2023, reaching 2,353,735 total fans, the highest in 22 seasons.",1,1;3;12,numerical_shift,context_follow
garage_core_034b9f6d9dde,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"""The 2024 Earned Income Tax Credit may also boost refunds for eligible taxpayers because the credit amount increased and eligibility rules changed.""",7,7,entity_substitution,context_follow
garage_core_039e53761080,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,False,correct,,,2;5,entity_substitution,context_follow
garage_core_042d8b39db82,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"For supported models, it can reduce costs by up to 80% and latency by up to 85%.",5,3;5;7;8;10;13,numerical_shift,context_follow
garage_core_06999cfa8e16,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,False,False,correct,,3,3;10,entity_substitution,refusal_or_insufficient
garage_core_0851ad0275ed,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"""One reviewed predictive-maintenance study specifically found that among twelve sensor categories, humidity and acoustic sensors were the most widely used, at 60.71% and 46.42% respectively.""",0,0,ranking_flip,context_follow
garage_core_0870283d18c7,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,False,False,correct,,,7,temporal_shift,unrelated_or_failed
garage_core_09364325cbd0,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"""A major issue is informed consent: patients and families may not fully understand or be able to meaningfully agree to edits that could affect descendants or have unforeseen long-term effects.""",14,0;4;6;7;11;13,causal_change,context_follow
garage_core_09b2b6d3b9b0,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"""Abbott and Mead Johnson are discussed in connection with infant formula litigation, where a plaintiff verdict in Whitfield v. Abbott was described as a major loss for Abbott and Mead Johnson’s parent, Reckitt.""",2,2,relation_inversion,context_follow
garage_core_0c96c7913d77,False,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,False,False,correct,,,6;11;13,numerical_shift,unrelated_or_failed
garage_core_0d773b0f74cc,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,False,correct,,,5;8;9;13,temporal_shift,context_follow
garage_core_0db0e9df902e,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,True,incorrect,"""Abbott determines its stock-based compensation assumptions by estimating the fair value of option grants at the grant date using a binomial option-pricing model.""",14,3;5;11;12;14,entity_substitution,context_follow
garage_core_0de929fc524c,True,azure-gpt,gpt-5.4,0,GPT,azure-gpt,gpt-5.4,GPT,True,same_exact_model,True,False,correct,,,7,temporal_shift,context_follow
